ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY RURAL
IDEA
ZEEL
ADANIGREEN
ASHOKLEY
COROMANDEL
TVSMOTOR
HYUNDAI
BLUESTARCO
ICICIPRULI
BANKBARODA
ASTRAL
JSWENERGY
TATAPOWER
UPL
CROMPTON
HDFCLIFE
GRASIM
MUTHOOTFIN
M&MFIN
ADANIPOWER
PNBHOUSING
SUNDARMFIN
SBILIFE
JKCEMENT
DIXON
NHPC
MFSL
M&M
HEROMOTOCO
ITC
AMBUJACEM
VOLTAS
PNB
PATANJALI
LICHSGFIN
INDIANB
BANKINDIA
COLPAL
SHRIRAMFIN
ULTRACEMCO
BRITANNIA
MARICO
ELGIEQUIP
BAJAJ-AUTO
PIIND
BHARTIARTL
SBIN
SUPREMEIND
HINDUNILVR
TATACOMM
HAVELLS
SHREECEM
POONAWALLA
EMAMILTD
BANDHANBNK
IRCTC
MARUTI
ACC
NTPC
CHOLAFIN
NESTLEIND
TORNTPOWER
TATACONSUM
CUMMINSIND
LICI
DALBHARAT
DABUR
ESCORTS
TATAMOTORS
EICHERMOT
SBICARD
ASIANPAINT
BAJFINANCE
GODREJCP
BERGEPAINT
