ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY EV & NEW AGE AUTOMOTIVE
OLAELEC
BOSCHLTD
HSCL
KEI
ASHOKLEY
MINDACORP
TATACHEM
TVSMOTOR
TATAELXSI
HYUNDAI
MOTHERSON
SONACOMS
CGPOWER
ARE&M
EXIDEIND
TATATECH
M&M
UNOMINDA
HEROMOTOCO
FLUOROCHEM
ZFCVINDIA
BAJAJ-AUTO
MSUMI
TIINDIA
KPITTECH
JBMA
MARUTI
BHARATFORG
JWL
RELIANCE
TATAMOTORS
OLECTRA
EICHERMOT
LTTS
RTNINDIA
