ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY MIDCAP 150
OLAELEC
IDEA
MANKIND
BSE
KEI
ENDURANCE
OIL
FORTIS
HINDZINC
PAYTM
ASHOKLEY
MAXHEALTH
VMM
SYNGENE
WAAREEENER
GODREJPROP
COROMANDEL
UNIONBANK
POLICYBZR
SCHAEFFLER
GICRE
MEDANTA
AIAENG
YESBANK
TATAELXSI
BLUESTARCO
PRESTIGE
GLAND
LUPIN
FEDERALBNK
PHOENIXLTD
SONACOMS
POLYCAB
PETRONET
ASTRAL
BIOCON
GLENMARK
UPL
AUROPHARMA
NYKAA
ALKEM
PERSISTENT
PAGEIND
OFSS
SUNTV
MUTHOOTFIN
M&MFIN
AJANTPHARM
GMRAIRPORT
IRB
SUNDARMFIN
JKCEMENT
APARINDS
DIXON
EXIDEIND
NHPC
TATATECH
MFSL
JSL
HONAUT
UNOMINDA
SJVN
KALYANKJIL
ABCAPITAL
JUBLFOOD
IPCALAB
VOLTAS
FLUOROCHEM
PATANJALI
ATGL
PREMIERENE
NAM-INDIA
MAHABANK
LTF
LICHSGFIN
INDIANB
BANKINDIA
COLPAL
COFORGE
LINDEINDIA
HUDCO
CRISIL
MARICO
PIIND
MSUMI
RVNL
TIINDIA
NMDC
SAIL
MOTILALOFS
NATIONALUM
3MINDIA
MRF
JSWINFRA
CONCOR
KPITTECH
SUPREMEIND
ABFRL
NLCINDIA
TATACOMM
EMAMILTD
BALKRISIND
BANDHANBNK
ABBOTINDIA
NIACL
HDFCAMC
APLAPOLLO
BHEL
IRCTC
ACC
AWL
INDUSTOWER
IGL
BHARATFORG
UBL
GODREJIND
POWERINDIA
360ONE
TORNTPOWER
IREDA
CUMMINSIND
MRPL
SUZLON
DALBHARAT
THERMAX
SRF
GUJGASLTD
LLOYDSME
MPHASIS
ESCORTS
IDFCFIRSTB
STARHEALTH
TATAINVEST
KPRMILL
APOLLOTYRE
DEEPAKNTR
SBICARD
BHARTIHEXA
SOLARINDS
LTTS
HINDPETRO
GLAXO
OBEROIRLTY
BDL
NTPCGREEN
MAZDOCK
AUBANK
GVT&D
COCHINSHIP
BERGEPAINT
