ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY INDIA CONSUMPTION
ETERNAL
MAXHEALTH
VBL
TVSMOTOR
NAUKRI
TATAPOWER
DLF
TITAN
ADANIPOWER
M&M
HEROMOTOCO
ITC
APOLLOHOSP
COLPAL
UNITDSPR
INDIGO
BRITANNIA
BAJAJ-AUTO
BHARTIARTL
HINDUNILVR
HAVELLS
MARUTI
NESTLEIND
TATACONSUM
TRENT
INDHOTEL
DMART
EICHERMOT
ASIANPAINT
GODREJCP
