ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY HOUSING
KEI
ADANIGREEN
GODREJPROP
UNIONBANK
YESBANK
BLUESTARCO
PRESTIGE
FEDERALBNK
LODHA
PHOENIXLTD
CANBK
BANKBARODA
POLYCAB
PETRONET
JSWENERGY
TATAPOWER
DLF
CROMPTON
GRASIM
ADANIPOWER
INDUSINDBK
JKCEMENT
DIXON
NHPC
JSL
AMBUJACEM
ADANIENSOL
VOLTAS
PNB
ATGL
LICHSGFIN
JSWSTEEL
TATASTEEL
ULTRACEMCO
RVNL
SBIN
SAIL
ICICIBANK
HDFCBANK
AXISBANK
HAVELLS
SHREECEM
JINDALSTEL
NTPC
TORNTPOWER
KOTAKBANK
IDFCFIRSTB
LT
ASIANPAINT
OBEROIRLTY
