ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY500 SHARIAH
NEULANDLAB
ALIVUS
USHAMART
HEG
CEATLTD
APLLTD
MANKIND
GRANULES
HSCL
KEI
ECLERX
ENDURANCE
RRKABEL
OIL
SOBHA
REDINGTON
FORTIS
VMM
MINDACORP
NAVA
SYNGENE
WAAREEENER
AMBER
COROMANDEL
BLUEDART
PGEL
SCHAEFFLER
CONCORDBIO
TBOTEK
VBL
MEDANTA
TATACHEM
CYIENT
NETWEB
ANANTRAJ
HYUNDAI
CAMPUS
CARBORUNIV
NATCOPHARM
BLUESTARCO
SWSOLAR
ATUL
TARIL
JBCHEPHARM
LUPIN
CHAMBLFERT
LODHA
ABREL
MOTHERSON
SONACOMS
POLYCAB
ELECON
IGIL
PETRONET
FIRSTCRY
MAHSEAMLES
NCC
CASTROLIND
ASTRAL
HFCL
GLENMARK
CROMPTON
AUROPHARMA
NYKAA
ALKEM
PERSISTENT
CGPOWER
ONGC
WELCORP
PAGEIND
ARE&M
KAJARIACER
KEC
GAIL
AJANTPHARM
ALKYLAMINE
APARINDS
DIXON
TITAGARH
COALINDIA
EXIDEIND
ITI
TATATECH
JSL
SONATSOFTW
UNOMINDA
HEROMOTOCO
CENTURYPLY
SUNPHARMA
SYRMA
SHYAMMETL
IPCALAB
VOLTAS
FLUOROCHEM
PATANJALI
JYOTICNC
ATGL
BAYERCROP
KPIL
SAGILITY
ZFCVINDIA
APOLLOHOSP
COLPAL
TIMKEN
COFORGE
WHIRLPOOL
BSOFT
LINDEINDIA
TANLA
ULTRACEMCO
BRITANNIA
CRISIL
MARICO
ELGIEQUIP
PIIND
MSUMI
HINDCOPPER
CHENNPETRO
RVNL
TIINDIA
SAIL
RHIM
NATIONALUM
SUNDRMFAST
POLYMED
3MINDIA
BATAINDIA
MRF
KPITTECH
SUPREMEIND
INDIACEM
HINDUNILVR
KANSAINER
CIPLA
VGUARD
FINPIPE
JUBLINGREA
JYOTHYLAB
HAVELLS
SHREECEM
EMAMILTD
BALKRISIND
ROUTE
GILLETTE
DRREDDY
BPCL
JINDALSTEL
AEGISLOG
APLAPOLLO
BHEL
ACC
IOC
IGL
RAILTEL
POWERINDIA
NESTLEIND
METROPOLIS
INOXINDIA
JWL
ASTRAZEN
TATACONSUM
CUMMINSIND
SKFINDIA
LTFOODS
AFCONS
MGL
SUZLON
DALBHARAT
THERMAX
FINCABLES
SRF
GUJGASLTD
LLOYDSME
MPHASIS
BASF
AKUMS
LTIM
MASTEK
ZYDUSLIFE
BIKAJI
VTL
TRENT
DOMS
BBTC
APOLLOTYRE
ASTERDM
OLECTRA
DEEPAKNTR
FSL
PIDILITIND
TCS
DMART
HONASA
ACE
GSPL
ASIANPAINT
GODREJCP
HCLTECH
LTTS
KIRLOSBROS
NSLNISP
TECHM
RKFORGE
SCI
GVT&D
GPIL
BERGEPAINT
