ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY PHARMA
MANKIND
LAURUSLABS
GRANULES
TORNTPHARM
NATCOPHARM
JBCHEPHARM
GLAND
LUPIN
BIOCON
GLENMARK
AUROPHARMA
ALKEM
AJANTPHARM
SUNPHARMA
IPCALAB
CIPLA
DRREDDY
ABBOTINDIA
DIVISLAB
ZYDUSLIFE
