ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY MIDSMALLCAP 400
NEULANDLAB
OLAELEC
JPPOWER
ANANDRATHI
GODFRYPHLP
IDEA
ALIVUS
PEL
SAILIFE
USHAMART
HEG
INDIAMART
CEATLTD
APLLTD
MANKIND
GRAPHITE
LAURUSLABS
EMCURE
BEML
BSE
ZEEL
GRANULES
HSCL
PPLPHARMA
KEI
ECLERX
IFCI
WOCKPHARMA
ENDURANCE
RRKABEL
J&KBANK
OIL
SOBHA
CESC
GODIGIT
REDINGTON
FORTIS
HINDZINC
DBREALTY
PAYTM
ASHOKLEY
JMFINANCIL
MAXHEALTH
VMM
MINDACORP
NAVA
SYNGENE
WAAREEENER
JUBLPHARMA
AMBER
GODREJPROP
COROMANDEL
UNIONBANK
POLICYBZR
BLUEDART
PGEL
SCHAEFFLER
MCX
CONCORDBIO
TBOTEK
NIVABUPA
ERIS
GICRE
MEDANTA
BRIGADE
NETWORK18
CHALET
TATACHEM
CYIENT
AIAENG
NETWEB
ANANTRAJ
YESBANK
TATAELXSI
CUB
CAMPUS
CARBORUNIV
NATCOPHARM
BLUESTARCO
PRESTIGE
SWSOLAR
ATUL
JSWHL
TARIL
AADHARHFC
JBCHEPHARM
GLAND
INTELLECT
LUPIN
FEDERALBNK
CHAMBLFERT
CLEAN
PHOENIXLTD
ABREL
TEJASNET
KNRCON
CAMS
SONACOMS
POLYCAB
ELECON
IGIL
PETRONET
FIRSTCRY
JKTYRE
MAHSEAMLES
NCC
CASTROLIND
ASTRAL
IDBI
BIOCON
HFCL
WESTLIFE
TRITURBINE
GLENMARK
UPL
CROMPTON
CREDITACC
AUROPHARMA
UTIAMC
NYKAA
NUVAMA
DCMSHRIRAM
FIVESTAR
ALKEM
PERSISTENT
WELCORP
PAGEIND
OFSS
SUNTV
MUTHOOTFIN
M&MFIN
ARE&M
KAJARIACER
RPOWER
KEC
AJANTPHARM
GMRAIRPORT
PNBHOUSING
RAINBOW
IRB
ALKYLAMINE
KIRLOSENG
SUNDARMFIN
JKCEMENT
APARINDS
DIXON
TITAGARH
ABSLAMC
ALOKINDS
EXIDEIND
MAPMYINDIA
NHPC
ITI
TATATECH
MFSL
JSL
SONATSOFTW
HONAUT
CGCL
RADICO
UNOMINDA
IIFL
SJVN
IKS
CENTURYPLY
KALYANKJIL
ABCAPITAL
JUBLFOOD
SYRMA
SHYAMMETL
AARTIIND
IPCALAB
PNCINFRA
VOLTAS
FLUOROCHEM
PATANJALI
JYOTICNC
KFINTECH
ATGL
COHANCE
BAYERCROP
PREMIERENE
KPIL
NAM-INDIA
MAHABANK
SAGILITY
LTF
LICHSGFIN
INDIANB
DATAPATTNS
BANKINDIA
CAPLIPOINT
KAYNES
ZFCVINDIA
COLPAL
TIMKEN
COFORGE
WHIRLPOOL
IEX
NH
KIMS
GPPL
TTML
BSOFT
LINDEINDIA
HUDCO
TANLA
CANFINHOME
CRISIL
PTCIL
MARICO
ELGIEQUIP
PIIND
INOXWIND
SUMICHEM
MSUMI
HINDCOPPER
CHENNPETRO
DEVYANI
GESHIP
RVNL
NBCC
TIINDIA
CRAFTSMAN
NMDC
SAIL
RHIM
MOTILALOFS
MANAPPURAM
MMTC
UCOBANK
NATIONALUM
KARURVYSYA
SUNDRMFAST
POLYMED
RITES
INDGN
3MINDIA
BATAINDIA
MRF
JSWINFRA
CONCOR
EIDPARRY
SIGNATURE
JINDALSAW
ANGELONE
KPITTECH
SUPREMEIND
VIJAYA
ABFRL
INDIACEM
NLCINDIA
IRCON
KANSAINER
RAYMONDLSL
TATACOMM
HOMEFIRST
VGUARD
FINPIPE
SAPPHIRE
JUBLINGREA
JYOTHYLAB
POONAWALLA
EMAMILTD
BALKRISIND
ROUTE
BANDHANBNK
GILLETTE
ABBOTINDIA
NIACL
HDFCAMC
AEGISLOG
JBMA
APLAPOLLO
BHEL
IRCTC
ACC
AWL
INDUSTOWER
