ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY NEXT 50
BOSCHLTD
ADANIGREEN
TORNTPHARM
BAJAJHLDNG
VBL
SWIGGY
TVSMOTOR
HYUNDAI
ICICIPRULI
LODHA
NAUKRI
CANBK
MOTHERSON
BANKBARODA
JSWENERGY
TATAPOWER
DLF
VEDL
SIEMENS
CGPOWER
GAIL
ADANIPOWER
AMBUJACEM
ADANIENSOL
PNB
HAL
UNITDSPR
INDIGO
BRITANNIA
ICICIGI
HAVELLS
SHREECEM
BPCL
JINDALSTEL
IOC
CHOLAFIN
RECLTD
LICI
DIVISLAB
BAJAJHFL
DABUR
IRFC
LTIM
ZYDUSLIFE
PFC
INDHOTEL
PIDILITIND
DMART
GODREJCP
ABB
