ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY100 ALPHA 30
ETERNAL
TORNTPHARM
BAJAJHLDNG
TVSMOTOR
ICICIPRULI
NAUKRI
HDFCLIFE
SBILIFE
M&M
APOLLOHOSP
UNITDSPR
SHRIRAMFIN
JSWSTEEL
INDIGO
ICICIGI
BHARTIARTL
ICICIBANK
HDFCBANK
SHREECEM
CHOLAFIN
BEL
KOTAKBANK
DIVISLAB
BAJAJFINSV
TRENT
INDHOTEL
EICHERMOT
BAJFINANCE
HCLTECH
TECHM
