ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY200 MOMENTUM 30
BSE
PAYTM
MAXHEALTH
TVSMOTOR
NYKAA
HDFCLIFE
PERSISTENT
MUTHOOTFIN
SBILIFE
DIXON
MFSL
COFORGE
UNITDSPR
INDIGO
BHARTIARTL
ICICIBANK
HDFCBANK
SHREECEM
CHOLAFIN
BEL
KOTAKBANK
DIVISLAB
SRF
BAJAJFINSV
INDHOTEL
SBICARD
BAJFINANCE
SOLARINDS
BDL
MAZDOCK
