ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY CORE HOUSING
KEI
GODREJPROP
BRIGADE
BLUESTARCO
PRESTIGE
LODHA
PHOENIXLTD
POLYCAB
DLF
CROMPTON
GRASIM
KAJARIACER
PNBHOUSING
JKCEMENT
DIXON
AMBUJACEM
VOLTAS
LICHSGFIN
WHIRLPOOL
ULTRACEMCO
HAVELLS
SHREECEM
ACC
DALBHARAT
FINCABLES
AAVAS
ASIANPAINT
RAMCOCEM
OBEROIRLTY
BERGEPAINT
