ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY100 ESG
BOSCHLTD
ADANIGREEN
ETERNAL
TORNTPHARM
BAJAJHLDNG
VBL
TVSMOTOR
ICICIPRULI
LODHA
NAUKRI
CANBK
MOTHERSON
BANKBARODA
JSWENERGY
DLF
TITAN
VEDL
HDFCLIFE
SIEMENS
CGPOWER
ONGC
GRASIM
GAIL
ADANIPOWER
SBILIFE
ADANIENT
M&M
HEROMOTOCO
AMBUJACEM
SUNPHARMA
ADANIENSOL
PNB
APOLLOHOSP
SHRIRAMFIN
JSWSTEEL
TATASTEEL
INDIGO
ULTRACEMCO
BRITANNIA
BAJAJ-AUTO
ICICIGI
ADANIPORTS
BHARTIARTL
SBIN
ICICIBANK
HDFCBANK
AXISBANK
HINDUNILVR
CIPLA
HAVELLS
SHREECEM
POWERGRID
DRREDDY
BPCL
JINDALSTEL
MARUTI
NTPC
IOC
CHOLAFIN
NESTLEIND
RECLTD
TATACONSUM
RELIANCE
HINDALCO
LICI
DIVISLAB
DABUR
BAJAJFINSV
IRFC
LTIM
ZYDUSLIFE
TRENT
PFC
TATAMOTORS
INDHOTEL
PIDILITIND
TCS
DMART
EICHERMOT
ASIANPAINT
BAJFINANCE
GODREJCP
HCLTECH
INFY
WIPRO
TECHM
ABB
JIOFIN
