ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY500 MULTICAP MOMENTUM QUALITY 50
GODFRYPHLP
BSE
ECLERX
COROMANDEL
INTELLECT
CAMS
ELECON
CASTROLIND
PERSISTENT
CGPOWER
PAGEIND
DIXON
COHANCE
HAL
NAM-INDIA
CAPLIPOINT
COFORGE
IEX
NH
BRITANNIA
MARICO
MOTILALOFS
MANAPPURAM
ANGELONE
GILLETTE
BPCL
HDFCAMC
BEL
NESTLEIND
360ONE
ASTRAZEN
CDSL
LTFOODS
MGL
SUZLON
DIVISLAB
NEWGEN
BLS
ZENSARTECH
EICHERMOT
ACE
BAJFINANCE
SOLARINDS
HCLTECH
AFFLE
GLAXO
SCHNEIDER
MAZDOCK
ZENTEC
GRSE
