ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY SMALLCAP 50
NEULANDLAB
PEL
LAURUSLABS
HSCL
PPLPHARMA
CESC
AMBER
MCX
BRIGADE
TATACHEM
CYIENT
NATCOPHARM
ABREL
TEJASNET
CAMS
NCC
CASTROLIND
HFCL
CROMPTON
FIVESTAR
ARE&M
RPOWER
KEC
PNBHOUSING
SONATSOFTW
RADICO
IIFL
AARTIIND
KFINTECH
KAYNES
IEX
BSOFT
INOXWIND
HINDCOPPER
GESHIP
NBCC
ANGELONE
POONAWALLA
AEGISLOG
CDSL
LALPATHLAB
DELHIVERY
ASTERDM
FSL
ZENSARTECH
GSPL
AFFLE
RAMCOCEM
RKFORGE
NAVINFLUOR
