ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY200 VALUE 30
UNIONBANK
FEDERALBNK
CANBK
BANKBARODA
PETRONET
UPL
VEDL
ONGC
GRASIM
GAIL
INDUSINDBK
COALINDIA
PNB
LICHSGFIN
INDIANB
BANKINDIA
SHRIRAMFIN
TATASTEEL
NMDC
SBIN
SAIL
POWERGRID
BPCL
NTPC
IOC
IGL
RECLTD
HINDALCO
PFC
HINDPETRO
