ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY IPO
OLAELEC
ABDL
SAILIFE
GARUDA
GODAVARIB
EMCURE
LAXMIDENTL
ATHERENERG
GODIGIT
MOBIKWIK
VMM
WAAREEENER
SGLTL
VSTL
ARKADE
TBOTEK
JUNIPER
NIVABUPA
SWIGGY
QPOWER
NORTHARC
HYUNDAI
BANSALWIRE
AADHARHFC
MANBA
STALLION
IGIL
FIRSTCRY
ECOSMOBLTY
KROSS
IXIGO
EXICOM
PNGJL
SANATHAN
EIEL
TRANSRAILL
IKS
KALPATARU
GALAPREC
BLACKBUCK
PREMIERENE
SAGILITY
TOLINS
THELEELA
UNIECOM
INDOFARM
DBEIL
DENTA
SCODATUBES
PLATIND
GOPAL
SSDL
INDGN
IGCL
CAPITALSFB
AGARWALEYE
SENORES
STYLEBAAZA
KRYSTAL
JSFB
HDBFS
ARISINFRA
DAMCAPITAL
RPTECH
BALAJEE
AFCONS
KRN
UNIMECH
BAJAJHFL
SANSTAR
MUKKA
AEGISVOPAK
AKUMS
QUADFUTURE
AFIL
JNKINDIA
OSWALPUMPS
STANLEY
DEEDEV
HEXT
AJAXENGG
BHARTIHEXA
CEIGALL
ENTERO
SURAKSHA
ACMESOLAR
GLOBECIVIL
PVSL
INTERARCH
ORIENTTECH
AWFIS
WCIL
PROSTARM
BELRISE
KRONOX
CARRARO
NTPCGREEN
DIFFNKG
VENTIVE
RKSWAMY
GPTHEALTH
JGCHEM
VRAJ
CEWATER
SAMBHV
ELLEN
MAMATA
