ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY MNC
BOSCHLTD
ASHOKLEY
SCHAEFFLER
HYUNDAI
JBCHEPHARM
GLAND
CASTROLIND
VEDL
SIEMENS
OFSS
HONAUT
AMBUJACEM
COHANCE
COLPAL
TIMKEN
UNITDSPR
LINDEINDIA
BRITANNIA
CRISIL
3MINDIA
HINDUNILVR
ABBOTINDIA
MARUTI
UBL
POWERINDIA
NESTLEIND
CUMMINSIND
SKFINDIA
ESCORTS
ABB
