ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY500 QUALITY 50
ANANDRATHI
ECLERX
TATAELXSI
CAMS
CASTROLIND
TRITURBINE
PERSISTENT
CGPOWER
PAGEIND
OFSS
ADANIPOWER
APARINDS
COALINDIA
SONATSOFTW
NAM-INDIA
COLPAL
COFORGE
IEX
NH
TANLA
BRITANNIA
CRISIL
MARICO
BAJAJ-AUTO
CHENNPETRO
NMDC
MOTILALOFS
ANGELONE
KPITTECH
EMAMILTD
GILLETTE
BPCL
HDFCAMC
IRCTC
BEL
360ONE
CDSL
MGL
SUZLON
PRAJIND
LTIM
BLS
ACE
SOLARINDS
LTTS
GLAXO
SCHNEIDER
ABB
MAZDOCK
ZENTEC
