ï»¿SYMBOL (shares)
"(â¹ Crores)"""
NIFTY ALPHA 50
LAURUSLABS
BSE
PPLPHARMA
FORTIS
ETERNAL
PAYTM
MAXHEALTH
BAJAJHLDNG
AMBER
COROMANDEL
POLICYBZR
PGEL
MCX
LUPIN
NAUKRI
GLENMARK
UPL
HDFCLIFE
PERSISTENT
OFSS
MUTHOOTFIN
RPOWER
PNBHOUSING
DIXON
MFSL
M&M
KALYANKJIL
JUBLFOOD
KFINTECH
KAYNES
COFORGE
NH
INDIGO
INOXWIND
BHARTIARTL
MOTILALOFS
AEGISLOG
POWERINDIA
BEL
CDSL
SUZLON
DIVISLAB
TRENT
FSL
BHARTIHEXA
BAJFINANCE
SOLARINDS
BDL
MAZDOCK
GVT&D
